seq,type,date,time,location,LatLng
1,住宅竊盜,970609,01~03,台北市信義區松隆里松山路615巷1 ~ 30號,"25.0270722,121.58279649999997"
2,住宅竊盜,991013,22~24,台北市內湖區成功路4段331 ~ 360號,"25.0844694,121.59923730000003"
3,住宅竊盜,991024,13~15,台北市南港區東新里興南街52巷1 ~ 30號,"25.056446,121.60432500000002"
4,住宅竊盜,1010601,07~09,台北市大安區誠安里忠孝東路3段251巷10弄1 ~ 30號,"25.0433918,121.5415772"
5,住宅竊盜,1010606,10~12,台北市中山區通北街65巷2弄1 ~ 30號,"25.0832353,121.53965470000003"
6,住宅竊盜,1010728,22~24,台北市萬華區萬大路486巷37弄61 ~ 90號,"25.020366,121.49400519999995"
7,住宅竊盜,1020101,19~21,台北市大同區雙連里萬全街103巷,"25.05835,121.51643289999993"
8,住宅竊盜,1020108,07~09,台北市中山區吉林路200巷23之1 ~ 30號,"25.0586081,121.52925830000004"
9,住宅竊盜,1021201,10~12,台北市大安區黎孝里和平東路3段308巷1弄1 ~ 30號,"25.0199469,121.55621900000006"
10,住宅竊盜,1030102,10~12,台北市文山區景美里育英街1 ~ 30號,"24.991588,121.538364"
11,住宅竊盜,1030915,01~03,台北市萬華區長泰街91 ~ 120號,"25.022638,121.49935389999996"
12,住宅竊盜,1031030,16~18,台北市北投區文化里文化三路91 ~ 120號,"25.140599,121.4981957"
13,住宅竊盜,1040101,07~09,台北市中山區新生北路一段91~120號,"25.0463313,121.53239759999997"
14,住宅竊盜,1040101,10~12,台北市文山區明興里興隆路四段1~30號,"24.991519,121.56074799999999"
15,住宅竊盜,1040101,22~24,台北市文山區萬美里萬寧街1~30號,"25.0033593,121.56388850000008"
16,住宅竊盜,1040101,22~24,台北市信義區富台里忠孝東路五段295巷6弄1~30號,"25.0417047,121.57377240000005"
17,住宅竊盜,1040102,04~06,台北市萬華區大理街159巷1~30號,"25.0342984,121.49594660000002"
18,住宅竊盜,1040102,04~06,台北市萬華區大理街159巷1~30號,"25.0342984,121.49594660000002"
19,住宅竊盜,1040102,10~12,台北市中山區吉林路121~150號,"25.0570513,121.53032050000002"
20,住宅竊盜,1040102,22~24,台北市士林區天福里1鄰忠誠路二段130巷1~30號,"25.1145416,121.5308311"
21,住宅竊盜,1040104,10~12,台北市信義區五常里永吉路225巷32弄1~30號,"25.047144,121.57311800000002"
22,住宅竊盜,1040104,10~12,台北市士林區明勝里通河街31 ~ 60號,"25.0800773,121.52303110000003"
23,住宅竊盜,1040105,04~06,台北市萬華區糖?里大理街159巷1~30號,"25.0342246,121.4959586"
24,住宅竊盜,1040105,10~12,台北市北投區吉慶里實踐街56巷1~30號,"25.1149989,121.50962149999998"
25,住宅竊盜,1040105,16~18,台北市中正區忠勤里中華路二段311巷1~30號,"25.0284004,121.50570930000004"
26,住宅竊盜,1040105,22~24,台北市中山區南京東路三段181~210號,"25.0516888,121.543275"
27,住宅竊盜,1040106,04~06,台北市信義區雅祥里基隆路一段1~30號,"25.0470216,121.56824649999999"
28,住宅竊盜,1040106,16~18,台北市中正區水源里汀州路三段91~120號,"25.014078,121.53352300000006"
29,住宅竊盜,1040108,07~09,台北市文山區萬美里萬美街一段61~90號,"25.0016237,121.56591490000005"
30,住宅竊盜,1040109,10~12,台北市內湖區港華里港華街1~30號,"25.0823766,121.57790499999999"
31,住宅竊盜,1040109,13~15,台北市中山區樂群二路91~120號,"25.0799983,121.55510170000002"
32,住宅竊盜,1040109,16~18,台北市松山區民權東路三段106巷1~30號,"25.0618628,121.54498680000006"
33,住宅竊盜,1040110,04~06,台北市信義區福德街373巷91~120號,"25.0370405,121.58164869999996"
34,住宅竊盜,1040111,07~09,台北市萬華區萬大路387巷1~30號,"25.0284293,121.50160540000002"
35,住宅竊盜,1040112,07~09,台北市大安區龍雲里4鄰大安路二段132巷1~30號,"25.0300455,121.54577130000007"
36,住宅竊盜,1040112,19~21,台北市松山區光復南路22巷31~60號,"25.0469982,121.55537370000002"
37,住宅竊盜,1040112,19~21,台北市松山區健康路325巷18弄1~30號,"25.0560495,121.56726849999995"
38,住宅竊盜,1040113,10~12,台北市萬華區青年路31~60號,"25.0233825,121.50234599999999"
39,住宅竊盜,1040115,07~09,台北市南港區九如里研究院路三段18巷1~30號,"25.0343176,121.61371989999998"
40,住宅竊盜,1040115,10~12,台北市大安區市民大道四段1~30號,"25.044813,121.54684199999997"
41,住宅竊盜,1040115,10~12,台北市內湖區民權東路六段296巷91~120號,"25.0705864,121.6081107"
42,住宅竊盜,1040115,22~24,台北市松山區饒河街181~210號,"25.0506151,121.57593169999996"
43,住宅竊盜,1040116,10~12,台北市松山區敦化南路二段31~60號,"25.0322761,121.54916350000008"
44,住宅竊盜,1040117,10~12,台北市文山區明義里興隆路四段46巷31~60號,"24.987883,121.55933900000002"
45,住宅竊盜,1040118,01~03,台北市萬華區桂林路242巷1 ~ 30號,"25.0378281,121.49511289999998"
46,住宅竊盜,1040118,07~09,台北市萬華區西園路二段320巷61~90號,"25.0276785,121.49097230000007"
47,住宅竊盜,1040118,10~12,台北市大安區通化里通化街19巷1~30號,"25.031589,121.55588060000002"
48,住宅竊盜,1040118,19~21,台北市信義區富台里忠孝東路五段295巷6弄31~60號,"25.0418883,121.57386959999997"
49,住宅竊盜,1040120,19~21,台北市南港區三重里重陽路511~540號,"25.0621336,121.61319890000004"
50,住宅竊盜,1040121,07~09,台北市萬華區柳鄉里1鄰桂林路242巷6弄1~30號,"25.0378281,121.49511289999998"
51,住宅竊盜,1040121,19~21,台北市士林區百齡里21鄰通河東街一段61~90號,"25.0838304,121.51638760000003"
52,住宅竊盜,1040121,19~21,台北市中山區吉林路379巷1~30號,"25.0653175,121.53068080000003"
53,住宅竊盜,1040121,22~24,台北市中山區中山北路一段53巷1~30號,"25.0492864,121.52189920000001"
54,住宅竊盜,1040122,10~12,台北市大同區揚雅里承德路三段90巷1~30號,"25.0664337,121.51788139999996"
55,住宅竊盜,1040122,16~18,台北市大安區龍安里青田街5巷1~30號,"25.028665,121.53194499999995"
56,住宅竊盜,1040123,13~15,台北市中正區龍光里和平西路二段1~30號,"25.0286917,121.51365859999999"
57,住宅竊盜,1040123,19~21,台北市文山區萬興里21鄰秀明路二段115巷1~30號,"24.99104,121.57695949999993"
58,住宅竊盜,1040124,10~12,台北市萬華區梧州街60巷1~30號,"25.0358445,121.49733079999999"
59,住宅竊盜,1040126,01~03,台北市萬華區民和街55巷1~30號,"25.0256649,121.49883829999999"
60,住宅竊盜,1040126,07~09,台北市大同區酒泉街103巷1~30號,"25.072482,121.51524799999993"
61,住宅竊盜,1040126,19~21,台北市內湖區西康里4鄰文湖街11巷1~30號,"25.0851535,121.559711"
62,住宅竊盜,1040127,01~03,台北市中山區中山北路二段1~30號,"25.0524875,121.52284199999997"
63,住宅竊盜,1040127,04~06,台北市中山區民生東路三段9巷1~30號,"25.0583355,121.53763079999999"
64,住宅竊盜,1040127,10~12,台北市文山區景興路238巷1~30號,"24.990607,121.542867"
65,住宅竊盜,1040127,13~15,台北市南港區東明里興華路64巷1~30號,"25.0552599,121.60541850000004"
66,住宅竊盜,1040127,16~18,台北市大安區錦泰里15鄰金山南路二段121~150號,"25.0301472,121.52653859999998"
67,住宅竊盜,1040128,13~15,台北市內湖區東湖里康樂街48巷1~30號,"25.0689281,121.61834039999997"
68,住宅竊盜,1040129,13~15,台北市松山區延壽街121~150號,"25.05707,121.5647381"
69,住宅竊盜,1040129,13~15,台北市信義區富台里忠孝東路五段423巷5弄1~30號,"25.04189,121.57428700000003"
70,住宅竊盜,1040130,13~15,台北市信義區廣居里忠孝東路五段372巷27弄61~90號,"25.0400079,121.57582200000002"
71,住宅竊盜,1040131,22~24,台北市南港區重陽路57巷1~30號,"25.0570045,121.59611070000005"
72,住宅竊盜,1040201,10~12,台北市北投區雙全街62巷1~30號,"25.1376,121.50067760000002"
73,住宅竊盜,1040201,10~12,台北市松山區敦化北路199巷100弄1~30號,"25.0556924,121.55003340000007"
74,住宅竊盜,1040201,19~21,台北市信義區信義路六段15巷1~30號,"25.0342949,121.57499519999999"
75,住宅竊盜,1040201,22~24,台北市北投區中心里中和街31~60號,"25.13789,121.50281999999993"
76,住宅竊盜,1040202,07~09,台北市中正區網溪里廈門街91~120號,"25.0229517,121.5173403"
77,住宅竊盜,1040202,19~21,台北市北投區中心里中和街31~60號,"25.13789,121.50281999999993"
78,住宅竊盜,1040204,16~18,台北市中山區農安街125巷1~30號,"25.0652239,121.52910840000004"
79,住宅竊盜,1040205,01~03,台北市士林區百齡里福港街211~240號,"25.0846678,121.5174356"
80,住宅竊盜,1040205,04~06,台北市內湖區樂康里康樂街111巷31~60號,"25.0707231,121.6207134"
81,住宅竊盜,1040205,13~15,台北市萬華區大理街170巷1~30號,"25.0337934,121.49362940000003"
82,住宅竊盜,1040206,07~09,台北市中山區合江街20巷1~30號,"25.0551109,121.53829199999996"
83,住宅竊盜,1040207,22~24,台北市中正區三愛里新生南路一段121~150號,"25.0388857,121.5327651"
84,住宅竊盜,1040208,04~06,台北市大安區新龍里信義路三段134巷61~90號,"25.029294,121.53983900000003"
85,住宅竊盜,1040209,01~03,台北市文山區忠順里忠順街二段1~30號,"24.9847799,121.56208400000003"
86,住宅竊盜,1040210,01~03,台北市北投區大同路200巷1~30號,"25.137655,121.49945600000001"
87,住宅竊盜,1040211,16~18,台北市內湖區葫洲里民權東路六段296巷31~60號,"25.070812,121.60831000000007"
88,住宅竊盜,1040212,19~21,台北市文山區興安里22鄰景華街176巷1~30號,"24.9964529,121.549665"
89,住宅竊盜,1040212,22~24,台北市萬華區萬大路493巷48弄1~30號,"25.0196499,121.499322"
90,住宅竊盜,1040213,04~06,台北市中山區八德路二段210巷1~30號,"25.0449579,121.54090710000003"
91,住宅竊盜,1040213,07~09,台北市中山區農安街1~30號,"25.0652239,121.52910840000004"
92,住宅竊盜,1040215,07~09,台北市大安區法治里通化街173巷1~30號,"25.027893,121.55372599999998"
93,住宅竊盜,1040215,07~09,台北市中山區長安東路二段1~30號,"25.0486369,121.53020990000005"
94,住宅竊盜,1040215,10~12,台北市北投區吉利里20鄰石牌路一段39巷61~90號,"25.1161431,121.50959080000007"
95,住宅竊盜,1040215,22~24,台北市信義區和平東路三段661~690號,"25.0185963,121.55911000000003"
96,住宅竊盜,1040216,10~12,台北市中正區文盛里羅斯福路三段210巷8弄1~30號,"25.0183867,121.52921809999998"
97,住宅竊盜,1040216,13~15,台北市內湖區新明路246巷3弄1~30號,"25.0570536,121.58366430000001"
98,住宅竊盜,1040216,16~18,台北市內湖區西湖里內湖路一段91巷121~150號,"25.0844198,121.56693629999995"
99,住宅竊盜,1040216,22~24,台北市松山區南京東路五段211~240號,"25.05189,121.55780000000004"
100,住宅竊盜,1040218,04~06,台北市大同區民權里民權西路160巷30弄1~30號,"25.0613975,121.51585599999999"
101,住宅竊盜,1040219,13~15,台北市信義區黎忠里和平東路三段391巷8弄31~60號,"25.0207337,121.5576168"
102,住宅竊盜,1040219,16~18,台北市北投區文林里致遠一路一段125巷1~30號,"25.1075163,121.51761269999997"
103,住宅竊盜,1040219,16~18,台北市信義區四育里虎林街46巷1~30號,"25.047126,121.57659890000002"
104,住宅竊盜,1040219,19~21,台北市信義區四育里虎林街46巷1~30號,"25.047126,121.57659890000002"
105,住宅竊盜,1040220,04~06,台北市北投區文林里致遠一路一段31~60號,"25.1081636,121.51668960000006"
106,住宅竊盜,1040221,19~21,台北市大安區通化里17鄰通化街39巷62弄1~30號,"25.0305818,121.55633809999995"
107,住宅竊盜,1040222,01~03,台北市文山區樟新里樟新街32巷1~30號,"24.9784842,121.55484539999998"
108,住宅竊盜,1040223,10~12,台北市南港區中南里中南街74巷31~60號,"25.053507,121.61408970000002"
109,住宅竊盜,1040223,13~15,台北市信義區大仁里福德街84巷1弄1~30號,"25.037405,121.58128699999997"
110,住宅竊盜,1040223,19~21,台北市士林區蘭雅里德行東路31~60號,"25.1069338,121.52620839999997"
111,住宅竊盜,1040223,22~24,台北市士林區義信里大南路61~90號,"25.088998,121.52477299999998"
112,住宅竊盜,1040224,10~12,台北市萬華區萬大路493巷48弄1~30號,"25.0196499,121.499322"
113,住宅竊盜,1040224,16~18,台北市北投區中心里8鄰泉源路31~60號,"25.1412233,121.50986490000003"
114,住宅竊盜,1040224,19~21,台北市內湖區西湖里26鄰內湖路一段285巷65弄61~90號,"25.0844318,121.56951860000004"
115,住宅竊盜,1040225,04~06,台北市中正區黎明里南陽街1~30號,"25.0442628,121.51600880000001"
116,住宅竊盜,1040225,07~09,台北市士林區聖山里忠誠路一段147巷1~30號,"25.106244,121.530126"
117,住宅竊盜,1040226,01~03,台北市大安區義安里敦化南路二段63巷31~60號,"25.0310298,121.55059749999998"
118,住宅竊盜,1040226,13~15,台北市中正區幸市里臨沂街33巷1~30號,"25.0397095,121.53131000000008"
119,住宅竊盜,1040226,19~21,台北市內湖區西湖里內湖路一段323巷14弄1~30號,"25.0834121,121.56779340000003"
120,住宅竊盜,1040227,01~03,台北市萬華區西園路二段151~180號,"25.0292384,121.49607960000003"
121,住宅竊盜,1040227,10~12,台北市北投區中央里大興街24巷7弄1~30號,"25.1288871,121.49900950000006"
122,住宅竊盜,1040227,22~24,台北市萬華區西寧南路206巷1~30號,"25.0384953,121.50607949999994"
123,住宅竊盜,1040228,19~21,台北市萬華區東園街73巷61~90號,"25.026953,121.49609199999998"
124,住宅竊盜,1040304,01~03,台北市北投區福興里自強街5巷61~90號,"25.1110219,121.51188439999999"
125,住宅竊盜,1040304,16~18,台北市士林區社新里延平北路六段273巷1~30號,"25.0892744,121.50736929999994"
126,住宅竊盜,1040304,16~18,台北市內湖區湖興里成功路二段312巷31~60號,"25.0670485,121.58890680000002"
127,住宅竊盜,1040305,04~06,台北市北投區吉慶里11鄰致遠二路1~30號,"25.1142676,121.51200649999998"
128,住宅竊盜,1040305,13~15,台北市內湖區葫洲里2鄰民權東路六段280巷25弄1~30號,"25.070445,121.6054421"
129,住宅竊盜,1040306,01~03,台北市內湖區大湖里大湖山莊街121~150號,"25.086285,121.60146699999996"
130,住宅竊盜,1040306,19~21,台北市大安區建安里忠孝東路四段181巷40弄1~30號,"25.0439824,121.55048699999998"
131,住宅竊盜,1040307,04~06,台北市北投區大同里大業路481~510號,"25.133165,121.49601489999998"
132,住宅竊盜,1040308,16~18,台北市萬華區內江街151~180號,"25.0418421,121.5004467"
133,住宅竊盜,1040308,22~24,台北市萬華區中華路二段416巷1~30號,"25.0278441,121.50554080000006"
134,住宅竊盜,1040310,10~12,台北市萬華區昆明街211~240號,"25.0387967,121.50414260000002"
135,住宅竊盜,1040310,10~12,台北市萬華區昆明街211~240號,"25.0387967,121.50414260000002"
136,住宅竊盜,1040310,22~24,台北市士林區天母里中山北路七段219巷1~30號,"25.128841,121.53363200000001"
137,住宅竊盜,1040310,22~24,台北市松山區八德路四段106巷10弄1~30號,"25.047532,121.56099100000006"
138,住宅竊盜,1040312,01~03,台北市中正區水源里羅斯福路四段61~90號,"25.0138277,121.53514580000001"
139,住宅竊盜,1040312,10~12,台北市大同區至聖里大龍街259巷10弄1~30號,"25.0716019,121.51617529999999"
140,住宅竊盜,1040312,16~18,台北市大安區古莊里浦城街13巷1~30號,"25.024314,121.528051"
141,住宅竊盜,1040313,01~03,台北市北投區中庸里10鄰大同街181~210號,"25.138526,121.49933829999998"
142,住宅竊盜,1040314,01~03,台北市文山區試院里和興路91~120號,"24.9853697,121.54937569999993"
143,住宅竊盜,1040315,01~03,台北市萬華區長泰街271~300號,"25.0212289,121.49394819999998"
144,住宅竊盜,1040316,07~09,台北市大安區和平東路一段1~30號,"25.026833,121.52945850000003"
145,住宅竊盜,1040316,07~09,台北市中正區螢雪里水源路151~180號,"25.0236222,121.51609280000002"
146,住宅竊盜,1040317,01~03,台北市北投區榮華里17鄰明德路118巷1~30號,"25.1093658,121.52134230000001"
147,住宅竊盜,1040317,10~12,台北市南港區萬福里同德路50巷1~30號,"25.0453813,121.58473149999998"
148,住宅竊盜,1040319,10~12,台北市文山區萬和里溪洲街61~90號,"25.005707,121.53458649999993"
149,住宅竊盜,1040319,22~24,台北市北投區永和里同德街44巷1~30號,"25.1254108,121.52915110000004"
150,住宅竊盜,1040320,10~12,台北市萬華區糖?里大理街160巷26弄1~30號,"25.032055,121.49387139999999"
151,住宅竊盜,1040320,19~21,台北市萬華區漢口街二段61~90號,"25.0459289,121.50575759999992"
152,住宅竊盜,1040324,07~09,台北市松山區民權東路三段153巷3弄1~30號,"25.0626113,121.54674160000002"
153,住宅竊盜,1040325,13~15,台北市大安區龍門里10鄰和平東路二段18巷13弄1~30號,"25.0232552,121.53604680000001"
154,住宅竊盜,1040326,16~18,台北市文山區興福里1鄰興隆路一段260巷1~30號,"24.9983649,121.54521599999998"
155,住宅竊盜,1040327,16~18,台北市文山區萬隆里羅斯福路五段241~270號,"25.000655,121.53939689999993"
156,住宅竊盜,1040327,19~21,台北市信義區黎平里和平東路三段207巷6弄1~30號,"25.023736,121.55378500000006"
157,住宅竊盜,1040328,19~21,台北市中山區天祥路60巷1~30號,"25.0605843,121.52102730000001"
158,住宅竊盜,1040329,07~09,台北市松山區南京東路五段31~60號,"25.0517333,121.55823140000007"
159,住宅竊盜,1040329,10~12,台北市士林區社園里021鄰社中街298巷4弄1~30號,"25.0924659,121.50700069999994"
160,住宅竊盜,1040329,16~18,台北市松山區民生東路三段113巷25弄31~60號,"25.0593897,121.54714509999997"
161,住宅竊盜,1040330,07~09,台北市中山區松江路331~360號,"25.0618075,121.53292349999992"
162,住宅竊盜,1040330,10~12,台北市士林區平等里平菁街105巷1~30號,"25.127505,121.57551799999999"
163,住宅竊盜,1040330,10~12,台北市文山區萬利街2巷1~30號,"24.999615,121.56701799999996"
164,住宅竊盜,1040331,07~09,台北市內湖區金瑞里金龍路1~30號,"25.0874689,121.58739519999995"
165,住宅竊盜,1040331,22~24,台北市萬華區萬大路493巷28弄1~30號,"25.019636,121.49879699999997"
166,住宅竊盜,1040401,13~15,台北市士林區天壽里5鄰天母西路22巷1~30號,"25.1180723,121.52723519999995"
167,住宅竊盜,1040401,22~24,台北市中山區長春路241~270號,"25.054835,121.5392812"
168,住宅竊盜,1040404,13~15,台北市文山區木新里指南路一段31~60號,"24.9877709,121.56977899999993"
169,住宅竊盜,1040405,10~12,台北市文山區指南里指南路三段22巷1~30號,"24.9833249,121.57879000000003"
170,住宅竊盜,1040405,19~21,台北市松山區光復北路31~60號,"25.0499163,121.55801900000006"
171,住宅竊盜,1040405,22~24,台北市大同區南芳里延平北路二段241~270號,"25.0620658,121.51117899999997"
172,住宅竊盜,1040405,22~24,台北市內湖區港富里麗山街328巷1~30號,"25.0816072,121.5800044"
173,住宅竊盜,1040407,01~03,台北市萬華區雅江街31~60號,"25.042908,121.50154399999997"
174,住宅竊盜,1040407,10~12,台北市中山區大直街84巷1~30號,"25.084429,121.54695900000002"
175,住宅竊盜,1040407,10~12,台北市內湖區紫陽里文德路22巷59弄1~30號,"25.0793096,121.58429130000002"
176,住宅竊盜,1040408,10~12,台北市中正區螢雪里重慶南路三段74巷1~30號,"25.0242424,121.51644829999998"
177,住宅竊盜,1040408,16~18,台北市內湖區寶湖里成功路二段301~330號,"25.0694253,121.5908422"
178,住宅竊盜,1040409,10~12,台北市中山區農安街1~30號,"25.0652239,121.52910840000004"
179,住宅竊盜,1040410,07~09,台北市北投區吉利里23鄰吉利街320巷1弄1~30號,"25.1183908,121.50898419999999"
180,住宅竊盜,1040410,16~18,台北市萬華區忠德里4鄰寶興街91~120號,"25.0258864,121.49454049999997"
181,住宅竊盜,1040410,19~21,台北市松山區民生東路五段181~210號,"25.0587166,121.56305270000007"
182,住宅竊盜,1040411,10~12,台北市內湖區內湖路1段359巷1 ~ 30號,"25.0864375,121.5573647"
183,住宅竊盜,1040413,13~15,台北市萬華區貴陽街二段151~180號,"25.0402787,121.50093760000004"
184,住宅竊盜,1040415,07~09,台北市松山區民生東路四段55巷1~30號,"25.058151,121.55059000000006"
185,住宅竊盜,1040415,16~18,台北市萬華區西園路二段261巷31~60號,"25.0250863,121.4933959"
186,住宅竊盜,1040415,22~24,台北市萬華區富民里4鄰貴陽街二段151~180號,"25.0401248,121.50077320000003"
187,住宅竊盜,1040416,04~06,台北市文山區萬和里1鄰溪州街137巷61~90號,"25.000134,121.5356137"
188,住宅竊盜,1040416,07~09,台北市士林區三玉里忠誠路二段41巷1~30號,"25.1099927,121.53166599999997"
189,住宅竊盜,1040416,10~12,台北市中山區中山北路二段93巷1~30號,"25.0594195,121.52330119999999"
190,住宅竊盜,1040416,13~15,台北市內湖區康樂街61巷12弄1~30號,"25.0690068,121.61919490000002"
191,住宅竊盜,1040416,13~15,台北市北投區永欣里石牌路二段181~210號,"25.1220264,121.52204499999993"
192,住宅竊盜,1040416,19~21,台北市南港區舊莊里舊莊街一段145巷6弄1~30號,"25.040309,121.62068799999997"
193,住宅竊盜,1040417,16~18,台北市中山區建國北路三段22巷1~30號,"25.0639133,121.53533760000005"
194,住宅竊盜,1040417,16~18,台北市北投區奇岩里奇岩路31~60號,"25.1306529,121.50577699999997"
195,住宅竊盜,1040419,13~15,台北市北投區榮華里榮華一路15巷1~30號,"25.1115988,121.52394909999998"
196,住宅竊盜,1040420,16~18,台北市內湖區瑞光里瑞光路235巷1~30號,"25.074442,121.57808060000002"
197,住宅竊盜,1040420,22~24,台北市中山區遼寧街241~270號,"25.0555562,121.54213579999998"
198,住宅竊盜,1040421,19~21,台北市文山區指南里15鄰指南路三段26巷1~30號,"24.983449,121.57980700000007"
199,住宅竊盜,1040422,19~21,台北市萬華區萬大路493巷12弄1~30號,"25.0197989,121.49831599999993"
200,住宅竊盜,1040423,04~06,台北市內湖區康樂街136巷15弄1~30號,"25.072009,121.61868000000004"
201,住宅竊盜,1040423,13~15,台北市內湖區樂康里康樂街136巷15弄1~30號,"25.072009,121.61868000000004"
202,住宅竊盜,1040423,19~21,台北市士林區仁勇里16鄰大東路121~150號,"25.0915626,121.5255386"
203,住宅竊盜,1040423,19~21,台北市萬華區環河南路二段250巷3弄1~30號,"25.0331843,121.49138219999998"
204,住宅竊盜,1040424,10~12,台北市內湖區樂康里康樂街72巷17弄121~150號,"25.0725774,121.61922830000003"
205,住宅竊盜,1040425,04~06,台北市文山區興業里23鄰辛亥路五段124巷1~30號,"24.9968419,121.551739"
206,住宅竊盜,1040425,22~24,台北市大同區揚雅里民族西路121~150號,"25.0684733,121.51571790000003"
207,住宅竊盜,1040426,04~06,台北市北投區智仁里21鄰中和街525巷10弄1~30號,"25.144667,121.49336310000001"
208,住宅竊盜,1040427,07~09,台北市中山區大直街62巷5弄1~30號,"25.0834191,121.54505889999996"
209,住宅竊盜,1040427,07~09,台北市內湖區湖興里20鄰成功路二段250巷31~60號,"25.066291,121.58878200000004"
210,住宅竊盜,1040427,13~15,台北市中山區大直街62巷5弄1~30號,"25.0834191,121.54505889999996"
211,住宅竊盜,1040427,16~18,台北市萬華區德昌街132巷1~30號,"25.0244138,121.4964377"
212,住宅竊盜,1040427,22~24,台北市內湖區港都里港華街85巷1~30號,"25.0823158,121.57690019999995"
213,住宅竊盜,1040429,13~15,台北市中山區敬業三路162巷121~150號,"25.079546,121.55963529999997"
214,住宅竊盜,1040429,13~15,台北市中山區敬業三路162巷31~60號,"25.079056,121.55796199999997"
215,住宅竊盜,1040430,07~09,台北市內湖區麗山街328巷1~30號,"25.0829643,121.57323889999998"
216,住宅竊盜,1040430,19~21,台北市內湖區樂康里康樂街136巷18弄31~60號,"25.0709813,121.61811799999998"
217,住宅竊盜,1040501,16~18,台北市中山區吉林路379巷1~30號,"25.0653175,121.53068080000003"
218,住宅竊盜,1040501,22~24,台北市信義區忠孝東路,"25.0409808,121.57306070000004"
219,住宅竊盜,1040503,19~21,台北市松山區寶清街104巷1~30號,"25.0496729,121.56912469999997"
220,住宅竊盜,1040504,10~12,台北市中山區長安東路一段31~60號,"25.0493739,121.52399590000005"
221,住宅竊盜,1040504,19~21,台北市內湖區西湖里內湖路一段323巷1~30號,"25.0842771,121.56786239999997"
222,住宅竊盜,1040505,16~18,台北市士林區菁山里永公路511~540號,"25.1381811,121.5671221"
223,住宅竊盜,1040506,19~21,台北市文山區試院里29鄰木柵路一段1~30號,"24.9884933,121.54252680000002"
224,住宅竊盜,1040507,19~21,台北市信義區大道里大道路7巷1弄1~30號,"25.0428399,121.58166400000005"
225,住宅竊盜,1040508,04~06,台北市大同區斯文里大龍街89巷1~30號,"25.0667908,121.51662699999997"
226,住宅竊盜,1040508,07~09,台北市大安區車層里忠孝東路四段216巷19弄1~30號,"25.0404607,121.55308650000006"
227,住宅竊盜,1040508,13~15,台北市北投區大屯里復興三路521巷1~30號,"25.1598185,121.5004467"
228,住宅竊盜,1040509,10~12,台北市士林區聖山里20鄰忠義街46巷1~30號,"25.105665,121.53059840000003"
229,住宅竊盜,1040510,04~06,台北市大安區虎嘯里樂業街15巷1~30號,"25.0240174,121.55006260000005"
230,住宅竊盜,1040510,10~12,台北市內湖區新明路380巷9弄1~30號,"25.0559203,121.58078239999998"
231,住宅竊盜,1040510,13~15,台北市中山區中山北路一段91~120號,"25.0506682,121.52229069999999"
232,住宅竊盜,1040511,22~24,台北市萬華區萬大路322巷55弄1~30號,"25.0244988,121.49842190000004"
233,住宅竊盜,1040512,10~12,台北市北投區開明里珠海路107巷1~30號,"25.141253,121.504817"
234,住宅竊盜,1040512,13~15,台北市中正區文祥里金山南路一段91~120號,"25.036704,121.5280765"
235,住宅竊盜,1040512,19~21,台北市松山區延壽街61~90號,"25.0572091,121.56765280000002"
236,住宅竊盜,1040514,10~12,台北市內湖區康寧路三段245巷31~60號,"25.0701643,121.60946289999993"
237,住宅竊盜,1040514,10~12,台北市文山區樟新里木新路三段301~330號,"24.9803238,121.55540610000003"
238,住宅竊盜,1040515,10~12,台北市內湖區康寧路一段156巷7弄1~30號,"25.0788611,121.5934277"
239,住宅竊盜,1040515,10~12,台北市內湖區麗山街46巷5弄1~30號,"25.0811139,121.58009530000004"
240,住宅竊盜,1040515,19~21,台北市北投區榮光里致遠一路二段40巷1弄1~30號,"25.1118595,121.51455579999993"
241,住宅竊盜,1040518,10~12,台北市中正區黎明里信陽街1~30號,"25.0447073,121.5168764"
242,住宅竊盜,1040521,16~18,台北市北投區文化里文化三路1~30號,"25.1382493,121.49795210000002"
243,住宅竊盜,1040521,22~24,台北市士林區福志里24鄰中山北路五段756巷1~30號,"25.0991607,121.52998209999998"
244,住宅竊盜,1040522,16~18,台北市中正區板溪里南昌路二段91~120號,"25.025684,121.52230910000003"
245,住宅竊盜,1040523,10~12,台北市松山區南京東路五段291巷44弄1~30號,"25.05344,121.56610330000001"
246,住宅竊盜,1040523,10~12,台北市松山區南京東路五段59巷28弄1~30號,"25.0526527,121.55953929999998"
247,住宅竊盜,1040525,19~21,台北市文山區試院里木柵路一段31~60號,"24.988202,121.54475300000001"
248,住宅竊盜,1040526,04~06,台北市北投區洲美里洲美街81巷1~30號,"25.0988837,121.50690299999997"
249,住宅竊盜,1040526,16~18,台北市中山區錦州街181~210號,"25.0604617,121.53094320000002"
250,住宅竊盜,1040526,22~24,台北市中山區林森北路119巷1~30號,"25.0508342,121.52525319999995"
251,住宅竊盜,1040528,04~06,台北市文山區萬祥里興隆路一段70巷1~30號,"25.003326,121.54068899999993"
252,住宅竊盜,1040528,19~21,台北市士林區永倫里6鄰社中街426巷1~30號,"25.0919276,121.50238020000006"
253,住宅竊盜,1040529,16~18,台北市大同區斯文里承德路三段85巷1~30號,"25.0660801,121.51880779999999"
254,住宅竊盜,1040529,22~24,台北市大同區光能里南京西路31~60號,"25.0528814,121.52004510000006"
